0.25	9.75	117	0.225
0.26	9.74	116.88	0.226
0.27	9.73	116.76	0.227
0.28	9.72	116.64	0.228
0.29	9.71	116.52	0.229
0.3	9.7	116.4	0.23
0.31	9.69	116.28	0.231
0.32	9.68	116.16	0.232
0.33	9.67	116.04	0.233
0.34	9.66	115.92	0.234
0.35	9.65	115.8	0.235
0.36	9.64	115.68	0.236
0.37	9.63	115.56	0.237
0.38	9.62	115.44	0.238
0.39	9.61	115.32	0.239
0.4	9.6	115.2	0.24
0.41	9.59	115.08	0.241
0.42	9.58	114.96	0.242
0.43	9.57	114.84	0.243
0.44	9.56	114.72	0.244
0.45	9.55	114.6	0.245
0.46	9.54	114.48	0.246
0.47	9.53	114.36	0.247
0.48	9.52	114.24	0.248
0.49	9.51	114.12	0.249
0.5	9.5	114	0.25
0.51	9.49	113.88	0.251
0.52	9.48	113.76	0.252
0.53	9.47	113.64	0.253
0.54	9.46	113.52	0.254
0.55	9.45	113.4	0.255
0.56	9.44	113.28	0.256
0.57	9.43	113.16	0.257
0.58	9.42	113.04	0.258
0.59	9.41	112.92	0.259
0.6	9.4	112.8	0.26
0.61	9.39	112.68	0.261
0.62	9.38	112.56	0.262
0.63	9.37	112.44	0.263
0.64	9.36	112.32	0.264
0.65	9.35	112.2	0.265
0.66	9.34	112.08	0.266
0.67	9.33	111.96	0.267
0.68	9.32	111.84	0.268
0.69	9.31	111.72	0.269
0.7	9.3	111.6	0.27
0.71	9.29	111.48	0.271
0.72	9.28	111.36	0.272
0.73	9.27	111.24	0.273
0.74	9.26	111.12	0.274
0.75	9.25	111	0.275
0.76	9.24	110.88	0.276
0.77	9.23	110.76	0.277
0.78	9.22	110.64	0.278
0.79	9.21	110.52	0.279
0.8	9.2	110.4	0.28
0.81	9.19	110.28	0.281
0.82	9.18	110.16	0.282
0.83	9.17	110.04	0.283
0.84	9.16	109.92	0.284
0.85	9.15	109.8	0.285
0.86	9.14	109.68	0.286
0.87	9.13	109.56	0.287
0.88	9.12	109.44	0.288
0.89	9.11	109.32	0.289
0.9	9.1	109.2	0.29
0.91	9.09	109.08	0.291
0.92	9.08	108.96	0.292
0.93	9.07	108.84	0.293
0.94	9.06	108.72	0.294
0.95	9.05	108.6	0.295
0.96	9.04	108.48	0.296
0.97	9.03	108.36	0.297
0.98	9.02	108.24	0.298
0.99	9.01	108.12	0.299
1	9	108	0.3
1.01	8.99	107.88	0.301
1.02	8.98	107.76	0.302
1.03	8.97	107.64	0.303
1.04	8.96	107.52	0.304
1.05	8.95	107.4	0.305
1.06	8.94	107.28	0.306
1.07	8.93	107.16	0.307
1.08	8.92	107.04	0.308
1.09	8.91	106.92	0.309
1.1	8.9	106.8	0.31
1.11	8.89	106.68	0.311
1.12	8.88	106.56	0.312
1.13	8.87	106.44	0.313
1.14	8.86	106.32	0.314
1.15	8.85	106.2	0.315
1.16	8.84	106.08	0.316
1.17	8.83	105.96	0.317
1.18	8.82	105.84	0.318
1.19	8.81	105.72	0.319
1.2	8.8	105.6	0.32
1.21	8.79	105.48	0.321
1.22	8.78	105.36	0.322
1.23	8.77	105.24	0.323
1.24	8.76	105.12	0.324
1.25	8.75	105	0.325
1.26	8.74	104.88	0.326
1.27	8.73	104.76	0.327
1.28	8.72	104.64	0.328
1.29	8.71	104.52	0.329
1.3	8.7	104.4	0.33
1.31	8.69	104.28	0.331
1.32	8.68	104.16	0.332
1.33	8.67	104.04	0.333
1.34	8.66	103.92	0.334
1.35	8.65	103.8	0.335
1.36	8.64	103.68	0.336
1.37	8.63	103.56	0.337
1.38	8.62	103.44	0.338
1.39	8.61	103.32	0.339
1.4	8.6	103.2	0.34
1.41	8.59	103.08	0.341
1.42	8.58	102.96	0.342
1.43	8.57	102.84	0.343
1.44	8.56	102.72	0.344
1.45	8.55	102.6	0.345
1.46	8.54	102.48	0.346
1.47	8.53	102.36	0.347
1.48	8.52	102.24	0.348
1.49	8.51	102.12	0.349
1.5	8.5	102	0.35
1.51	8.49	101.88	0.351
1.52	8.48	101.76	0.352
1.53	8.47	101.64	0.353
1.54	8.46	101.52	0.354
1.55	8.45	101.4	0.355
1.56	8.44	101.28	0.356
1.57	8.43	101.16	0.357
1.58	8.42	101.04	0.358
1.59	8.41	100.92	0.359
1.6	8.4	100.8	0.36
1.61	8.39	100.68	0.361
1.62	8.38	100.56	0.362
1.63	8.37	100.44	0.363
1.64	8.36	100.32	0.364
1.65	8.35	100.2	0.365
1.66	8.34	100.08	0.366
1.67	8.33	99.96	0.367
1.68	8.32	99.84	0.368
1.69	8.31	99.72	0.369
1.7	8.3	99.6	0.37
1.71	8.29	99.48	0.371
1.72	8.28	99.36	0.372
1.73	8.27	99.24	0.373
1.74	8.26	99.12	0.374
1.75	8.25	99	0.375
1.76	8.24	98.88	0.376
1.77	8.23	98.76	0.377
1.78	8.22	98.64	0.378
1.79	8.21	98.52	0.379
1.8	8.2	98.4	0.38
1.81	8.19	98.28	0.381
1.82	8.18	98.16	0.382
1.83	8.17	98.04	0.383
1.84	8.16	97.92	0.384
1.85	8.15	97.8	0.385
1.86	8.14	97.68	0.386
1.87	8.13	97.56	0.387
1.88	8.12	97.44	0.388
1.89	8.11	97.32	0.389
1.9	8.1	97.2	0.39
1.91	8.09	97.08	0.391
1.92	8.08	96.96	0.392
1.93	8.07	96.84	0.393
1.94	8.06	96.72	0.394
1.95	8.05	96.6	0.395
1.96	8.04	96.48	0.396
1.97	8.03	96.36	0.397
1.98	8.02	96.24	0.398
1.99	8.01	96.12	0.399
2	8	96	0.4
2.01	7.99	95.88	0.401
2.02	7.98	95.76	0.402
2.03	7.97	95.64	0.403
2.04	7.96	95.52	0.404
2.05	7.95	95.4	0.405
2.06	7.94	95.28	0.406
2.07	7.93	95.16	0.407
2.08	7.92	95.04	0.408
